Name,Secondary,FileSpec,
ac130_105mm_fire,,weap_ac130_25mm_fire_plr_lfe,
ac130_105mm_fire_npc,,,
ac130_105mm_fire_npc,,,
ac130_105mm_fire_npc,,,
ac130_105mm_mp_reload,,,
ac130_25mm_mp_reload,,,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire,,ac130_40mm_fire_atmo,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_atmo,,,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc,,ac130_40mm_fire_npc_atmo,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_fire_npc_atmo,,,
ac130_40mm_mp_reload,,,
amb_br_ac130_lfe,,,
amb_mp_ac130,,amb_mp_ac130_lsrs,
amb_mp_ac130_lsrs,,amb_br_ac130_lfe,
amb_mp_nuke,,amb_mp_nuke_lsrs,
amb_mp_nuke_lsrs,,,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
drone_impact_exp,,scrambler_drone_expl_dist,
