Name,Secondary,FileSpec,
mount_enter_side_slima_vestlight_plr,,,
mount_enter_top_slima_vestlight_plr,,,
mount_exit_side_slima_vestlight_plr,,,
mount_exit_top_slima_vestlight_plr,,,
weap_lm_slima_ads_down,,,
weap_lm_slima_ads_up,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_disconnector_plr,,,
weap_slima_dryfire_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_dryfirst_plr,,,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr,,weap_slima_fire_plr_mech,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_atmo,,,
weap_slima_fire_plr_lfe,,,
weap_slima_fire_plr_lfe,,,
weap_slima_fire_plr_mech,,weap_slima_fire_plr_lfe,
