Name,Secondary,FileSpec,
weap_shpump_dryfire_npc,,,
weap_shpump_dryfirst_npc,,,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc,,weap_shpump_fire_npc_mech,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_atmo,,,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist,,weap_shpump_fire_npc_dist_atmo,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_dist_atmo,,,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far,,weap_shpump_fire_npc_far_atmo,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_far_atmo,,,
weap_shpump_fire_npc_lfe,,,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_mech,,weap_shpump_fire_npc_lfe,
weap_shpump_fire_npc_med,,weap_shpump_fire_npc_med_atmo,
weap_shpump_fire_npc_med,,weap_shpump_fire_npc_med_atmo,
weap_shpump_fire_npc_med,,weap_shpump_fire_npc_med_atmo,
