setchancecol,mp/loot/br/no_ground_loot/lootset_global.csv,3,# global,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_named_Location.csv,4,# named_Location,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_extra_plunder.csv,5,# extra_plunder,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_superstore.csv,6,# superstore,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_cache_base.csv,7,# cache_base,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_cache_lege.csv,8,# cache_lege,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_cache_pe_chop.csv,9,# cache_pe_chop,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_contract_asn.csv,10,# contract_asn,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_contract_dom.csv,11,# contract_dom,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_contract_scav1.csv,12,# contract_scav1,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_contract_scav2.csv,13,# contract_scav2,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_contract_scav3.csv,14,# contract_scav3,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_bunkers.csv,15,# bunkers,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_empty.csv,16,# N/A,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/no_ground_loot/lootset_cache_zom.csv,17,# cache_zom,,,,,,,,,,,,,,,,
Central Control,,,,,,,,,,,,,,,,,,,
chance,ammo,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,health,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,plunder,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,killstreak,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,lethal,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,tactical,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,super,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,weapon,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,gear,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,revive,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,tablet,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
chance,keycard,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,
item,brloot_ammo_12g,,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,,
item,brloot_ammo_50cal,,23,23,23,23,23,23,23,23,23,23,23,23,23,0,23,,
