0,none,,STICKERS/DEFAULT,menu_default_slot,standard,,,,1,,STICKERS/DEFAULT,
0,placement_sticker_1,,STICKERS/DEFAULT,menu_default_slot,,1,,,0,,STICKERS/DEFAULT,
0,placement_sticker_2,,STICKERS/DEFAULT,menu_default_slot,,1,,,0,,STICKERS/DEFAULT,
0,placement_sticker_3,,STICKERS/DEFAULT,menu_default_slot,,1,,,0,,STICKERS/DEFAULT,
0,placement_sticker_4,,STICKERS/DEFAULT,menu_default_slot,,1,,,0,,STICKERS/DEFAULT,
1,sticker_001,,STICKERS/STICKER_001,ui_sticker_001,standard,,,,0,,STORE_FLAVOR/STICKER_001_FLAVOR,
2,sticker_002,,STICKERS/STICKER_002,ui_sticker_002,standard,,,,0,,STORE_FLAVOR/STICKER_002_FLAVOR,
3,sticker_003,,STICKERS/STICKER_003,ui_sticker_003,standard,,,,0,,STORE_FLAVOR/STICKER_003_FLAVOR,
4,sticker_004,,STICKERS/STICKER_004,ui_sticker_004,standard,,,,0,,STORE_FLAVOR/STICKER_004_FLAVOR,
5,sticker_005,,STICKERS/STICKER_005,ui_sticker_005,standard,,,,0,,STORE_FLAVOR/STICKER_005_FLAVOR,
6,sticker_006,,STICKERS/STICKER_006,ui_sticker_006,standard,,,,0,,STORE_FLAVOR/STICKER_006_FLAVOR,
7,sticker_007,,STICKERS/STICKER_007,ui_sticker_007,standard,,,,0,,STORE_FLAVOR/STICKER_007_FLAVOR,
8,sticker_008,,STICKERS/STICKER_008,ui_sticker_008,standard,,,,0,,STORE_FLAVOR/STICKER_008_FLAVOR,
9,sticker_009,,STICKERS/STICKER_009,ui_sticker_009,standard,,,,0,,STORE_FLAVOR/STICKER_009_FLAVOR,
10,sticker_010,,STICKERS/STICKER_010,ui_sticker_010,standard,1,,,0,,STORE_FLAVOR/STICKER_010_FLAVOR,
11,sticker_011,,STICKERS/STICKER_011,ui_sticker_011,standard,1,,,0,,STORE_FLAVOR/STICKER_011_FLAVOR,
12,sticker_012,,STICKERS/STICKER_012,ui_sticker_012,standard,1,,,0,,STORE_FLAVOR/STICKER_012_FLAVOR,
13,sticker_013,,STICKERS/STICKER_013,ui_sticker_013,standard,1,,,0,,STORE_FLAVOR/STICKER_013_FLAVOR,
14,sticker_014,,STICKERS/STICKER_014,ui_sticker_014,standard,1,,,0,,STORE_FLAVOR/STICKER_014_FLAVOR,
