0,none,MENU/None,menu_default_slot,standard,,,,1,,MENU/None,
1,cos_001,CHARMS/COS_001,ui_charm_001,standard,,,,0,,STORE_FLAVOR/COS_001_FLAVOR,
2,cos_002,CHARMS/COS_002,ui_charm_002,standard,,,,0,,STORE_FLAVOR/COS_002_FLAVOR,
3,cos_003,CHARMS/COS_003,ui_charm_003,standard,,,,0,,STORE_FLAVOR/COS_003_FLAVOR,
4,cos_004,CHARMS/COS_004,ui_charm_004,standard,,,,0,,STORE_FLAVOR/COS_004_FLAVOR,
5,cos_005,CHARMS/COS_005,ui_charm_005,standard,,,,0,,STORE_FLAVOR/COS_005_FLAVOR,
6,cos_006,CHARMS/COS_006,ui_charm_006,standard,,,,0,,STORE_FLAVOR/COS_006_FLAVOR,
7,cos_007,CHARMS/COS_007,ui_charm_007,standard,,,,0,,STORE_FLAVOR/COS_007_FLAVOR,
8,cos_008,CHARMS/COS_008,ui_charm_008,standard,,,,0,,STORE_FLAVOR/COS_008_FLAVOR,
9,cos_009,CHARMS/COS_009,ui_charm_009,standard,,,,0,,STORE_FLAVOR/COS_009_FLAVOR,
10,cos_010,CHARMS/COS_010,ui_charm_010,standard,,,,0,,STORE_FLAVOR/COS_010_FLAVOR,
11,cos_011,CHARMS/COS_011,ui_charm_011,standard,,,,0,,STORE_FLAVOR/COS_011_FLAVOR,
12,cos_012,CHARMS/COS_012,ui_charm_012,standard,,,,0,,STORE_FLAVOR/COS_012_FLAVOR,
13,cos_013,CHARMS/COS_013,ui_charm_013,standard,,,,0,,STORE_FLAVOR/COS_013_FLAVOR,
14,cos_014,CHARMS/COS_014,ui_charm_014,standard,,,,0,,STORE_FLAVOR/COS_014_FLAVOR,
15,cos_015,CHARMS/COS_015,ui_charm_015,standard,,,,0,,STORE_FLAVOR/COS_015_FLAVOR,
16,cos_016,CHARMS/COS_016,ui_charm_016,standard,,,,0,,STORE_FLAVOR/COS_016_FLAVOR,
17,cos_017,CHARMS/COS_017,ui_charm_017,standard,,,,0,,STORE_FLAVOR/COS_017_FLAVOR,
18,cos_018,CHARMS/COS_018,ui_charm_018,standard,,,,0,,STORE_FLAVOR/COS_018_FLAVOR,
19,cos_019,CHARMS/COS_019,ui_charm_019,standard,,,,0,,STORE_FLAVOR/COS_019_FLAVOR,
20,cos_020,CHARMS/COS_020,ui_charm_020,standard,,,,0,,STORE_FLAVOR/COS_020_FLAVOR,
21,cos_021,CHARMS/COS_021,ui_charm_021,standard,,,,0,,STORE_FLAVOR/COS_021_FLAVOR,
22,cos_022,CHARMS/COS_022,ui_charm_022,standard,,,,0,,STORE_FLAVOR/COS_022_FLAVOR,
23,cos_023,CHARMS/COS_023,ui_charm_023,standard,,,,0,,STORE_FLAVOR/COS_023_FLAVOR,
24,cos_024,CHARMS/COS_024,ui_charm_024,standard,,,,0,,STORE_FLAVOR/COS_024_FLAVOR,
25,cos_025,CHARMS/COS_025,ui_charm_025,standard,,,,0,,STORE_FLAVOR/COS_025_FLAVOR,
26,cos_026,CHARMS/COS_026,ui_charm_026,standard,,,,0,,STORE_FLAVOR/COS_026_FLAVOR,
27,cos_027,CHARMS/COS_027,ui_charm_027,standard,,,,0,,STORE_FLAVOR/COS_027_FLAVOR,
28,cos_028,CHARMS/COS_028,ui_charm_028,standard,,,,0,,STORE_FLAVOR/COS_028_FLAVOR,
29,cos_029,CHARMS/COS_029,ui_charm_029,standard,,,,0,,STORE_FLAVOR/COS_029_FLAVOR,
30,cos_030,CHARMS/COS_030,ui_charm_030,standard,,,,0,,STORE_FLAVOR/COS_030_FLAVOR,
31,cos_031,CHARMS/COS_031,ui_charm_031,standard,,,,0,,STORE_FLAVOR/COS_031_FLAVOR,
32,cos_032,CHARMS/COS_032,ui_charm_032,standard,,,,0,,STORE_FLAVOR/COS_032_FLAVOR,
