none,,,,MENU/NONE,,menu_default_slot,0,,1,0,,loot,,,,,,,,,,,,,MENU/NONE,
accessory001,iw8_acc_watch_analog_1,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_1_band,LUA_MENU/ACCESSORY001,LUA_MENU/ACCESSORY001_DESC,icon_gesture_thumbsup,0,gesture023,1,1,,loot,icon_gesture_thumbsup,ui_loot_accessory_001,,iw8_acc_attach_face_analog_1,iw8_acc_attach_face_analog_1_big,iw8_acc_attach_face_analog_1_female,,,iw8_acc_attach_watch_analog_1_band_female,,,,STORE_FLAVOR/ACCESSORY001_FLAVOR,
accessory002,iw8_acc_watch_digital_1,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_digital_1_band,LUA_MENU/ACCESSORY001,LUA_MENU/ACCESSORY002_DESC,icon_gesture_noyoudidnt,1,gesture024|gesture023,1,2,,loot,icon_gesture_noyoudidnt,,,iw8_acc_attach_face_analog_2,iw8_acc_attach_face_analog_2_big,iw8_acc_attach_face_analog_2_female,,,,,,,STORE_FLAVOR/ACCESSORY002_FLAVOR,
accessory003,iw8_acc_watch_digital_2,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_digital_1_band,LUA_MENU/ACCESSORY002,LUA_MENU/ACCESSORY003_DESC,icon_gesture_headcrush,1,gesture024|gesture023,1,3,,loot,icon_gesture_headcrush,,,iw8_acc_attach_face_analog_3,iw8_acc_attach_face_analog_3_big,iw8_acc_attach_face_analog_3_female,,,,,,,STORE_FLAVOR/ACCESSORY003_FLAVOR,
accessory004,iw8_acc_watch_digital_3,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_digital_1_band,LUA_MENU/ACCESSORY003,LUA_MENU/ACCESSORY004_DESC,icon_gesture_watchingyou,1,gesture024|gesture023,1,4,,loot,icon_gesture_watchingyou,,,iw8_acc_attach_face_analog_4,iw8_acc_attach_face_analog_4_big,iw8_acc_attach_face_analog_4_female,,,,,,,STORE_FLAVOR/ACCESSORY004_FLAVOR,
accessory005,iw8_acc_watch_digital_j,iw8_acc_weapon_watch_analog_1,,LUA_MENU/ACCESSORY005,LUA_MENU/ACCESSORY005_DESC,icon_gesture_fistpump,0,gesture024|gesture023,1,5,,loot,icon_gesture_fistpump,ui_loot_accessory_005,,iw8_acc_attach_face_digital_j,iw8_acc_attach_face_digital_j_big,iw8_acc_attach_face_digital_j_female,,,,,,,STORE_FLAVOR/ACCESSORY005_FLAVOR,
accessory006,iw8_acc_watch_digital_b,iw8_acc_weapon_watch_pet,,LUA_MENU/ACCESSORY006,LUA_MENU/ACCESSORY006_DESC,icon_gesture_youredead,0,gesture024|gesture023,1,6,,loot,icon_gesture_youredead,ui_loot_accessory_006,pet,iw8_acc_attach_face_digital_b,iw8_acc_attach_face_digital_b_big,iw8_acc_attach_face_digital_b_female,,,,,,,STORE_FLAVOR/ACCESSORY006_FLAVOR,
accessory007,iw8_acc_watch_digital_c,iw8_acc_weapon_watch_analog_1,,LUA_MENU/ACCESSORY007,LUA_MENU/ACCESSORY007_DESC,icon_gesture_praise,0,gesture024|gesture023,1,7,,loot,icon_gesture_praise,ui_loot_accessory_007,thermometer,iw8_acc_attach_face_digital_c,iw8_acc_attach_face_digital_c_big,iw8_acc_attach_face_digital_c_female,,,,,,,STORE_FLAVOR/ACCESSORY007_FLAVOR,
accessory008,iw8_acc_watch_digital_d,iw8_acc_weapon_watch_analog_1,,LUA_MENU/ACCESSORY008,LUA_MENU/ACCESSORY008_DESC,icon_gesture_respect,0,gesture024|gesture023,1,8,,loot,icon_gesture_respect,ui_loot_accessory_008,,iw8_acc_attach_face_digital_d,iw8_acc_attach_face_digital_d_big,iw8_acc_attach_face_digital_d_female,,,,,,,STORE_FLAVOR/ACCESSORY008_FLAVOR,
accessory009,iw8_acc_watch_digital_e,iw8_acc_weapon_watch_analog_1,,LUA_MENU/ACCESSORY009,LUA_MENU/ACCESSORY009_DESC,icon_gesture_salute,1,gesture024|gesture023,0,9,,loot,icon_gesture_salute,,,iw8_acc_attach_face_digital_e,iw8_acc_attach_face_digital_e_big,iw8_acc_attach_face_digital_e_female,,,,,,,STORE_FLAVOR/ACCESSORY009_FLAVOR,
