0,iw8_ar_t9longburst_variant_0,iw8_ar_t9longburst,,,,,,,,,,,,,,,WEAPON_TANGO/AR_T9LONGBURST,ui_loot_weapon_ar_t9longburst,,,,
1,iw8_ar_t9longburst_variant_1_ms,iw8_ar_t9longburst,,rec|13 front|13 back|13 mag|1,,,,gripcust2|5,,xmags|4,,stockl|5,,,,,WEAPON_TANGO/AR_T9LONGBURST_V2,ui_loot_weapon_ar_t9longburst_v1,,,,
2,iw8_ar_t9longburst_variant_2,iw8_ar_t9longburst,,rec|2 front|2 back|2 mag|2,comp|0,,laser|0,,,xmags|2,pistolgrip05|0,stockh|1,,,,,WEAPON_TANGO/AR_T9LONGBURST_V3,ui_loot_weapon_ar_t9longburst_v2,,,,
3,iw8_ar_t9longburst_variant_3,iw8_ar_t9longburst,iw8_ar_t9longburst_mpmtx,rec|3 front|3 back|3 mag|3,,,,gripangpro|1,holo2|1,xmagslrg|1,pistolgrip04|1,stockfold|1,,,,,WEAPON_TANGO/AR_T9LONGBURST_V4,ui_loot_weapon_ar_t9longburst_v3,,green,,
4,iw8_ar_t9longburst_variant_4,iw8_ar_t9longburst,,rec|4 front|4 back|4 mag|4,silencer|0,,laserads|0,gripvert|0,reflex|0,,,,,,,,WEAPON_TANGO/AR_T9LONGBURST_V5,ui_loot_weapon_ar_t9longburst_v4,,,,
5,iw8_ar_t9longburst_variant_5_ms,iw8_ar_t9longburst,,rec|15 front|15 back|15 mag|5,silencer4|0,,,gripvertpro|0,,xmagslrg|5,pistolgrip04|4,,,,,,WEAPON_TANGO/AR_T9LONGBURST_V6,ui_loot_weapon_ar_t9longburst_v5,,,,
6,iw8_ar_t9longburst_variant_6,iw8_ar_t9longburst,,rec|6 front|6 back|6 mag|6,silencer3|0,,laserads|0,gripang|1,,fastmags2|0,,,,,,,WEAPON_TANGO/AR_T9LONGBURST_V7,ui_loot_weapon_ar_t9longburst_v6,,,,
7,iw8_ar_t9longburst_variant_7,iw8_ar_t9longburst,,rec|7 front|7 back|7 mag|7,,barlong|1,,gripvertpro|0,reflexmini|0,fastmags2|1,,stockh|0,,,,,WEAPON_TANGO/AR_T9LONGBURST_V8,ui_loot_weapon_ar_t9longburst_v7,,,,
8,iw8_ar_t9longburst_variant_8,iw8_ar_t9longburst,,rec|8 front|8 back|8 mag|8,silencer|0,,,gripvert|0,,,,stockl|2,,,,,WEAPON_TANGO/AR_T9LONGBURST_V9,ui_loot_weapon_ar_t9longburst_v8,,,,
9,iw8_ar_t9longburst_variant_9,iw8_ar_t9longburst,,rec|9 front|9 back|9 mag|9,linearbrake|1,,laserrange|0,gripvert|1,acog2|0,,pistolgrip03|0,,,,,,WEAPON_TANGO/AR_T9LONGBURST_V10,ui_loot_weapon_ar_t9longburst_v9,,,,
10,iw8_ar_t9longburst_variant_10,iw8_ar_t9longburst,,rec|10 front|10 back|10 mag|10,linearbrake|0,barshort|1,,gripcust|1,,,,stockl|3,,,,,WEAPON_TANGO/AR_T9LONGBURST_V11,ui_loot_weapon_ar_t9longburst_v10,,,,
11,iw8_ar_t9longburst_variant_11,iw8_ar_t9longburst,,rec|11 front|11 back|11 mag|11,,barlong|2,laser|1,,reflex|1,xmagslrg|3,,stockfold|2,,,,,WEAPON_TANGO/AR_T9LONGBURST_V12,ui_loot_weapon_ar_t9longburst_v11,,,,
12,iw8_ar_t9longburst_variant_12,iw8_ar_t9longburst,iw8_ar_t9longburst_mpa,rec|1 front|1 back|1 mag|1,silencer4|0,barshort|2,laserbalanced|0,gripangpro|0,,,pistolgrip03|0,,,,,,WEAPON_VICTOR/AR_T9LONGBURST_V13,ui_loot_weapon_ar_t9longburst_v12,,,,
