0,iw8_sn_t9quickscope_variant_0,iw8_sn_t9quickscope,,,,,,,,,,,,,,,WEAPON_TANGO/SN_T9QUICKSCOPE,ui_loot_weapon_sn_t9quickscope,
1,iw8_sn_t9quickscope_variant_1,iw8_sn_t9quickscope,,rec|1 front|1 back|1 mag|1 scope|1 boltaction|1,,barlong|0,,,,boltl|0,pistolgrip03|0,,,,,,WEAPON_TANGO/SN_T9QUICKSCOPE_V2,ui_loot_weapon_sn_t9quickscope_v1,
2,iw8_sn_t9quickscope_variant_2,iw8_sn_t9quickscope,,rec|2 front|2 back|2 mag|2 scope|2 boltaction|2,linearbrake|0,,,,,smags|0,pistolgrip02|1,stockh|1,,,,,WEAPON_TANGO/SN_T9QUICKSCOPE_V3,ui_loot_weapon_sn_t9quickscope_v2,
3,iw8_sn_t9quickscope_variant_3,iw8_sn_t9quickscope,,rec|3 front|3 back|3 mag|3 scope|3 boltaction|3,silencer|1,barshort|1,,,,bolttac|1,pistolgrip01|1,,,,,,WEAPON_TANGO/SN_T9QUICKSCOPE_V4,ui_loot_weapon_sn_t9quickscope_v3,
4,iw8_sn_t9quickscope_variant_4,iw8_sn_t9quickscope,,rec|4 front|4 back|4 mag|4 scope|4 boltaction|4,comp|0,barlong|0,,,,bolttac|0,pistolgrip01|2,stockfold|1,,,,,WEAPON_TANGO/SN_T9QUICKSCOPE_V5,ui_loot_weapon_sn_t9quickscope_v4,
5,iw8_sn_t9quickscope_variant_5,iw8_sn_t9quickscope,,rec|5 front|5 back|5 mag|5 scope|5 boltaction|5,silencer|2,,laserads|0,gripangpro|2,,smags|1,,,,,,,WEAPON_175/SN_T9QUICKSCOPE_V6,ui_loot_weapon_sn_t9quickscope_v5,
6,iw8_sn_t9quickscope_variant_6,iw8_sn_t9quickscope,,rec|6 front|6 back|6 mag|6 scope|6 boltaction|6,silencer|3,barlong|0,,,,bolttac|2,pistolgrip05|0,stockh|0,,,,,WEAPON_VICTOR/SN_T9QUICKSCOPE_V7,ui_loot_weapon_sn_t9quickscope_v6,
7,iw8_sn_t9quickscope_variant_7,iw8_sn_t9quickscope,,rec|7 front|7 back|7 mag|7 scope|7 boltaction|7,comp|0,,laserads|0,gripangpro|0,,xmags|0,,stockl|0,,,,,WEAPON_VICTOR/SN_T9QUICKSCOPE_V8,ui_loot_weapon_sn_t9quickscope_v7,
8,iw8_sn_t9quickscope_variant_8,iw8_sn_t9quickscope,,rec|8 front|8 back|8 mag|8 scope|8 boltaction|8,linearbrake|0,barcust3|0,,,,bolttac|3,pistolgrip04|1,stockl|1,,,,,WEAPON_VICTOR/SN_T9QUICKSCOPE_V9,ui_loot_weapon_sn_t9quickscope_v8,
9,iw8_sn_t9quickscope_variant_9,iw8_sn_t9quickscope,iw8_sn_t9quickscope_mpv,rec|9 front|9 back|9 mag|0 scope|9 boltaction|9,silencer|4,barlong|1,laserrange|0,,,xmags|2,,stockh|2,,,,,WEAPON_WHISKEY/SN_T9QUICKSCOPE_V10,ui_loot_weapon_sn_t9quickscope_v9,
10,iw8_sn_t9quickscope_variant_10,iw8_sn_t9quickscope,,rec|10 front|10 back|10 mag|10 scope|10 boltaction|10,comp|1,barlong|0,,,,xmags|0,pistolgrip04|0,stockl|2,,,,,WEAPON_WHISKEY/SN_T9QUICKSCOPE_V11,ui_loot_weapon_sn_t9quickscope_v10,
11,iw8_sn_t9quickscope_variant_11,iw8_sn_t9quickscope,,rec|11 front|11 back|11 mag|11 scope|11 boltaction|11,silencer2|1,barcust3|1,,,,xmagslrg|1,pistolgrip04|2,,,,,,WEAPON_XRAY/SN_T9QUICKSCOPE_V12,ui_loot_weapon_sn_t9quickscope_v11,
